Voltage
-10.568
-14.144
-17.666
-21.12
-24.496
-27.78
-30.96
-34.023
-36.958
-39.75
-42.389
-44.861
-47.155
-49.26
-51.166
-52.861
-54.338
-55.588
-56.603
-57.378
-57.908
-58.189
-58.22
-58.001
-57.532
-56.816
-55.858
-54.665
-53.244
-51.605
-49.761
-47.724
-45.51
-43.133
-40.613
-37.967
-35.215
-32.377
-29.473
-26.526
-23.555
-20.582
-17.629
-14.716
-11.863
-9.088
-6.411
-3.846
-1.411
0.883
3.022
4.997
6.799
8.424
9.867
11.127
12.205
13.103
13.827
14.384
14.785
15.042
15.168
15.178
15.09
14.921
14.691
14.42
14.128
13.835
13.562
13.33
13.158
13.065
13.07
13.188
13.435
13.824
14.368
15.075
15.953
17.007
18.238
19.648
21.232
22.987
24.905
26.975
29.186
31.521
33.965
36.498
39.099
41.745
44.412
47.076
49.711
52.291
54.789
57.182
59.443
61.548
63.475
65.202
66.711
67.982
69
69.754
70.231
70.424
70.329
69.943
69.268
68.307
67.067
65.558
63.792
61.785
59.553
57.116
54.497
51.718
48.806
45.787
42.69
39.543
36.376
33.218
30.099
27.046
24.087
21.248
18.553
16.024
13.681
11.541
9.62
7.928
6.475
5.267
4.307
3.594
3.123
2.889
2.881
3.086
3.488
4.069
4.809
5.686
6.675
7.751
8.886
10.054
11.226
12.372
13.465
14.476
15.376
16.137
16.736
17.147
17.35
17.325
17.055
16.527
15.731
14.659
13.308
11.676
9.766
7.582
5.134
2.435
-0.5
-3.654
-7.005
-10.531
-14.205
-18
-21.888
-25.841
-29.828
-33.818
-37.779
-41.682
-45.495
-49.192
-52.743
-56.123
-59.306
-62.269
-64.993
-67.463
-69.663
-71.582
-73.209
-74.542
-75.585
-76.346
-76.838
-77.073
-77.069
-76.845
-76.425
-75.832
-75.087
-74.208
-73.218
-72.144
-71.018
-69.875
-68.75
-67.676
-66.679
-65.782
-65.002
-64.35
-63.829
-63.444
-63.202
-63.122
-63.234
-63.564
-64.129
-64.94
-65.992
-67.262
-68.706
-70.27
-71.886
-73.514
-75.152
-76.788
-78.397
-79.921
-81.262
-82.33
-83.074
-83.416
-83.229
-82.465
-81.149
-79.488
-77.918
-76.695
-75.814
-75.203
-74.714
-74.123
-73.276
-71.685
-68.4
-63.075
-56.002
-47.683
-38.999
-30.597
-22.536
-15.274
-9.824
-6.37
-4.352
-2.87
-0.481
3.423
8.281
13.753
20.068
27.267
34.817
41.725
47.137
51.523
57.894
70.746
92.305
123.384
163.511
210.3
265.936
333.946
416.395
516.438
630.965
754.154
880.155
997.469
1094.327
1157.637
1173.804
